"","SrcID","cultivar_notes"
"734",232272,""
"735",191786,""
"736",190854,""
"737",170321,""
"738",195571,""
"739",232096,""
"740",179046,""
"741",183195,""
"742",206472,""
"743",206192,""
"744",222744,""
"745",213465,""
"746",214024,""
"747",214017,""
"748",216250,""
"749",219587,""
"750",211696,""
"751",221220,""
"752",240478,""
"753",240644,""
"754",157227,""
"755",144882,""
"756",235120,""
"757",218935,""
"758",151062,""
"759",224361,""
"760",251339,""
"761",231248,""
"762",197692,""
"763",62644,""
"764",231450,""
"765",17611,""
"766",134532,""
"767",130535,""
"768",131545,""
"769",127597,""
"770",244224,""
"771",30641,""
"772",44259,""
"773",136562,""
"774",136690,""
"775",136248,""
"776",136583,""
"777",134939,""
"778",136834,""
"779",136835,""
"780",136282,""
"781",144044,""
"782",135437,""
"783",131654,""
"784",14777,""
"785",135819,""
"786",136249,""
"787",147584,""
"788",127725,""
"789",86201,""
"790",128520,""
"791",127596,""
"792",127598,""
"793",237679,""
"794",144129,""
"795",144456,""
"796",144118,""
"797",144119,""
"798",144123,""
"799",129911,""
"800",158750,""
"801",234930,""
"802",143973,""
"803",143962,""
"804",144915,""
"805",145009,""
"806",144870,""
"807",144871,""
"808",145005,""
"809",144878,""
"810",234928,""
"811",134875,""
"812",134877,""
"813",237385,""
"814",129790,""
"815",141807,""
"816",132822,""
"817",132824,""
"818",185326,""
"819",232266,""
"820",67015,""
"821",146887,""
"822",27865,""
"823",81968,""
"824",145855,""
"825",156054,""
"826",145858,""
"827",55103,""
"828",55098,""
"829",150005,""
"830",237657,""
"831",102513,""
"832",135133,""
"833",108858,""
"834",165843,""
"835",137266,""
"836",137267,""
"837",127908,""
"838",144116,""
"839",129623,""
"840",129624,""
"841",144452,""
"842",35094,""
"843",129956,""
"844",129958,""
"845",129720,""
"846",129957,""
"847",56623,""
"848",129560,""
"849",130033,""
"850",110645,""
"851",39044,""
"852",40689,""
"853",12557,""
"854",33043,""
"855",100670,""
"856",58909,""
"857",129627,""
"858",133206,""
"859",93232,""
"860",39684,""
"861",135464,""
"862",67517,""
"863",99997,""
"864",133188,""
"865",50024,""
"866",67518,""
"867",117769,""
"868",211732,""
"869",235122,""
"870",136030,""
"871",129873,""
"872",43850,""
"873",5243,""
"874",68101,""
"875",129267,""
"876",129241,""
"877",135462,""
"878",39345,""
"879",118067,""
"880",237582,""
"881",237549,""
"882",132849,""
"883",70966,""
"884",64314,""
"885",27291,""
"886",27292,""
"887",81931,""
"888",161807,""
"889",28943,"Flowered in cultivation."
"890",145853,""
"891",62722,""
"892",204096,""
"893",68496,""
"894",80090,""
"895",119058,""
"896",144448,""
"897",131469,""
"898",129862,""
"899",131691,""
"900",131692,""
"901",131693,""
"902",131595,""
"903",131596,""
"904",131681,""
"905",131682,""
"906",131683,""
"907",131685,""
"908",131686,""
"909",131687,""
"910",131688,""
"911",131689,""
"912",131653,""
"913",130627,""
"914",131660,""
"915",131661,""
"916",129628,""
"917",129629,""
"918",129641,""
"919",129630,""
"920",237659,""
"921",117649,""
"922",237203,""
"923",131296,""
"924",237660,""
"925",119485,""
"926",132871,""
"927",131302,""
"928",129423,""
"929",204295,""
"930",117415,""
"931",129263,""
"932",40943,""
"933",117395,""
"934",129270,""
"935",128477,""
"936",129021,""
"937",130493,""
"938",132515,""
"939",132517,""
"940",130047,""
"941",237232,""
"942",237618,""
"943",237648,""
"944",161649,""
"945",117097,""
"946",130901,""
"947",133189,""
"948",133194,""
"949",129578,""
"950",129946,""
"951",132421,""
"952",117632,""
"953",117630,""
"954",108093,""
"955",108068,""
"956",108069,""
"957",117650,""
"958",97975,""
"959",119059,""
"960",126785,""
"961",130144,""
"962",101561,""
"963",6681,""
"964",237213,""
"965",91785,""
"966",62717,""
"967",55367,""
"968",79738,""
"969",119223,""
"970",129708,""
"971",129709,""
"972",161624,""
"973",108036,""
"974",231449,""
"975",42855,""
"976",42856,""
"977",119239,""
"978",119410,""
"979",119412,""
"980",119421,""
"981",119483,""
"982",119488,""
"983",117646,""
"984",59482,""
"985",75221,""
"986",61046,""
"987",128983,""
"988",241470,""
"989",130735,""
"990",107044,""
"991",119956,""
"992",237622,""
"993",164142,""
"994",25636,""
"995",135460,""
"996",2696,""
"997",55515,""
"998",12509,""
"999",224881,""
