Record Format,Scientific Name,Common Name,Family,Genus,Specimens,Photo(s),Infraspecies,Infraspecies Author,Ecology,Native,Endemic,DEP,EPPC1,EPPC2,Global Rank Comment,Growth Habit,Nature Serve,NWI,Plant Notes,Species,Species Author,State Rank Comment,Status State,Status US,Taxon Notes,USDA Symbol,WAP
Accepted Name,Carex lupuliformis,FALSE HOP SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,lupuliformis,Sartw. ex Dewey,null,,,null,null,null
Accepted Name,Carex lurida,SHALLOW SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,lurida,Wahlenb.,null,,,null,null,null
Accepted Name,Carex muehlenbergii,MUHLENBERG'S SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FACU,null,muehlenbergii,Schkuhr ex Willd.,null,,,null,null,null
Accepted Name,Carex nigromarginata var. floridana,BLACKEDGE SEDGE,CYPERACEAE,Carex,Y,Y,var. floridana,(Schwein.)Kük.,null,Y,N,FACW,N,N,null,null,null,FACU,null,nigromarginata,Schwein.,null,,,null,null,null
Accepted Name,Carex oxylepis,SHARPSCALE SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,oxylepis,Torr. & Hook.,null,,,null,null,null
Accepted Name,Carex retroflexa,REFLEXED SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,null,null,retroflexa,Muhl. ex Willd.,null,,,null,null,null
Accepted Name,Carex stipata,AWLFRUIT SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,stipata,Muhl. ex Willd.,null,,,null,null,null
Accepted Name,Carex striata,WALTER'S SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,OBL,N,N,null,null,null,OBL,null,striata,Michx.,null,,,null,null,null
Accepted Name,Carex venusta,DARKGREEN SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,FACW,null,venusta,Dewey,null,,,null,null,null
Accepted Name,Carex verrucosa,WARTY SEDGE,CYPERACEAE,Carex,Y,Y,null,null,null,Y,N,FACW,N,N,null,null,null,OBL,null,verrucosa,Muhl.,null,,,null,null,null
