barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
195994,null,34023,M. Nee,,Bolivia,Andrés Ibáñez Prov.,Fabaceae,Peltophorum,null,null,209977,null,null,null,TRUE,419,null,dubium,Spreng.,Taub.,South America,02/09/1987,In city of Santa Cruz.,1987,null,Fertile,null,null,null,null,"Cultivated street tree; this species has mostly finished flowering in the city, but some trees on this street with a few flowers, a very showy species when in full bloom; fruit green.",null,420,null,m,FALSE,null,-64.216667,W,-18.283333,S,https://cdn.plantatlas.org/img/specimens/USF/195994.jpg
286297,null,8527,W. T. Gillis,,USA,Miami-Dade Co.,Fabaceae,Peltophorum,null,null,134874,null,null,null,TRUE,1891,null,pterocarpum,DC.,Backer ex K. Heyne,North America,09/23/1969,Fairchild Tropical Garden.,null,null,Flower,Fruit,null,null,null,Tall-straight tree; yellow flowers; fruits red-brown during season of production; commonly cultivated.,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/286297.JPG
275498,null,37958,S. R. Hill,,USA,Champaign Co.,Piperaceae,Peperomia,null,null,117851,null,null,null,TRUE,516,null,obtusifolia,L.,A. Dietr.,North America,10/05/2008,"1411 Winding Lane; private residence. T19N, R8E, Sec. 1, SE¼ of NE¼ of SE¼ of SW¼.",null,null,null,null,null,null,null,"Container-grown, leaves and stems fleshy, succulent, dark green above, pale green beneath; stems-petioles tinted dull purplish-reddish; inflorescence erect, ash-white; cultivated in greenhouse.",null,757,null,ft,FALSE,Champaign,-88.24861111,W,40.12972222,N,https://cdn.plantatlas.org/img/specimens/USF/275498.jpg
300561,null,s.n.,D. Nguyen,,USA,Hillsborough Co.,Lamiaceae,Perilla,null,null,234924,null,null,null,TRUE,1658,null,frutescens,L.,Britton,North America,04/25/2016,South Tampa.,null,null,Fruit,null,null,null,null,Cultivated and eaten.,null,null,null,null,FALSE,null,-82.458428,W,27.947522,N,https://cdn.plantatlas.org/img/specimens/USF/300561.JPG
211699,null,25650,S. R. Hill,,Dominica,null,Lauraceae,Persea,null,null,119980,null,null,null,TRUE,443,null,americana,Mill.,null,West Indies,05/29/1994,Springfield Estate; at Mount Joy House yard.,June 1994,Yard.,Immature Fruit,null,null,null,null,"Large cultivated tree 40 ft. tall; fruit immature, green, shiny.",null,1500,null,ft,FALSE,Archbold Tropical Research Center,-61.37222222,W,15.34166667,N,https://cdn.plantatlas.org/img/specimens/USF/211699.jpg
31138,null,729,P. Dowell,,USA,Lehigh Co.,Hydrangeaceae,Philadelphus,null,null,240154,null,null,null,TRUE,null,null,coronarius,L.,null,North America,06/05/1899,Collected in the vicinity of Allentown.,null,null,Bud,Flower,null,null,null,Cultivated.,null,null,null,null,FALSE,null,-75.490183,W,40.60843,N,https://cdn.plantatlas.org/img/specimens/USF/31138.jpg
267773,null,36815,S. R. Hill,,USA,Oconee Co.,Hydrangeaceae,Philadelphus,null,null,150937,null,null,null,TRUE,3267,null,inodorus,L.,null,North America,05/04/2006,Margin of power line clearing at SE corner of Hill property; N side of Galloway Road; W of W Village Creek; Mountain Rest; private property.,2006,Oak-hickory-black gum-pine forest; garden area. Gneissic schist and clay.,Flower,null,null,null,null,Cultivated shrub 2.5 m tall; arching stems; few-branched; petals white; stamens golden yellow; leaves slightly glaucous beneath; flowers without odor.,null,null,null,null,FALSE,null,-83.18333333,W,34.86666667,N,https://cdn.plantatlas.org/img/specimens/USF/267773.jpg
300338,null,163,J. Lange,C. Angelo,USA,Broward Co.,Araceae,Philodendron,null,null,234790,null,null,null,TRUE,null,null,lacerum,Jacq.,Schott,North America,08/08/2019,Long Key Nature Center.,null,Disturbed xeric oak hammock.,null,null,null,null,null,Persisting and spreading from cultivated plants.,null,null,null,null,FALSE,null,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/300338.JPG
103352,null,8230,D. B. Ward,,USA,Hamilton Co.,Viscaceae,Phoradendron,null,null,98107,null,null,null,TRUE,3332,null,leucarpum,Raf.,Reveal & M. C. Johnst.,North America,02/27/1972,"Along US 129, 1 mi. S of its junction with I-75, 6 mi. S of Jasper.  T1S, R14E, Sec. 5.",1989,null,Fertile,null,null,null,null,"Single large clump [parasitic] high in a cultivated Prunus serotina (abundant in nearby pecan [Carya illinoinensis] grove); stems green, wood very brittle.",null,null,null,null,FALSE,null,-82.94819,W,30.518273,N,https://cdn.plantatlas.org/img/specimens/USF/103352.jpg
104942,null,s.n.,D. B. Ward,N.E. Lee,USA,Alachua Co.,Viscaceae,Phoradendron,null,null,98108,null,null,null,TRUE,3332,null,leucarpum,Raf.,Reveal & M. C. Johnst.,North America,01/26/1973,"Lawn of McCarty Hall, University of Florida campus, Gainesville.",1989,null,null,null,null,null,null,"Solitary small clump, [parasitic] 25 ft. up in cultivated Juglans nigra.",null,null,null,null,FALSE,null,-82.325,W,29.65139,N,https://cdn.plantatlas.org/img/specimens/USF/104942.jpg
227244,null,2299,M. T. Strong,,USA,Marion Co.,Viscaceae,Phoradendron,null,null,98113,null,null,null,TRUE,3332,null,leucarpum,Raf.,Reveal & M. C. Johnst.,North America,01/01/2000,"Stonecrest retirement community, NE side of US 27/441, ca. 13 km SE of Bellview.",null,null,Fertile,null,null,null,null,Parasitic on a cultivated tree.,null,null,null,null,FALSE,null,-87.314974,W,30.461586,N,https://cdn.plantatlas.org/img/specimens/USF/227244.jpg
227301,null,59,S. Myers,,USA,Orange Co.,Viscaceae,Phoradendron,null,null,98047,null,null,null,TRUE,3332,null,leucarpum,Raf.,Reveal & M. C. Johnst.,North America,01/23/2001,"6000 block of Mattox Street, Orlando.",null,null,null,null,null,null,null,"Parasitic on a cultivated elm, ""Drake Elm"".",null,null,null,null,FALSE,null,-81.379236,W,28.538336,N,https://cdn.plantatlas.org/img/specimens/USF/227301.jpg
