"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"68",234056,"null","1606","M. Blanco","","Costa Rica","null","Fabaceae","Bauhinia","null","null",165996,"null","null","null",TRUE,"null","null","guianensis","Aubl.","null","Central America","10/01/2000","Sarapiquí; Puerto Viejo; Estación Biológica La Selva.","Oct 2000","En árbol caído.","Fruit","null","null","null","null","Bejuco leñoso; tallos aplanados y ondulados; hojas siempre partidas hasta la base; frutos café oscuro; semillas en cultivo.","null","40","null","m",FALSE,"null","-84.01666667","W","10.43333333","N","https://cdn.plantatlas.org/img/specimens/USF/234056.jpg"
"71",202083,"null","5825","P. A. Silverstone-Sopkin","N. Paz","Colombia","Cali Mun.","Fabaceae","Bauhinia","null","null",127730,"null","null","null",TRUE,"null","null","monandra","Kurz","null","South America","12/15/1989","Cali, Universidad del Valle (Melendez).","1990","null","Fruit","Flower","null","null","null","Arbol cultivado ca. 6 m altura, 17 cm. DAP, comienza a ramificarse ca. 1.2 m arriba de suelo; mayoria de flores tienen petalos rosado claro con muchos puntos de rosado oscuro, un flores del mismo arbol tienen petalos blancos con muchos puntos de rosado oscuro y borde distal rosado claro, un petalo blaco-amarillento en base y amarillo en borde distal, fuertemente moteado de rojo-violeta; solamente un estambre desarrollado, filamento rosado o blanco, antera negra; fruto joven verde, maduro café, pubescente, picudo, algo aplanado en los lados, hasta 23.5 cm longitud x 23 cm. ancho.","null","970","null","m",FALSE,"null","-74.715178","W","10.727867","N","https://cdn.plantatlas.org/img/specimens/USF/202083.jpg"
"73",184678,"null","1611","J. C. Sandino","null","Nicaragua","null","Fabaceae","Bauhinia","null","null",127616,"null","null","null",TRUE,"null","null","multinervia","Kunth","DC.","Central America","12/03/1981","Estacion Experimental El Recreo, SE de Rio Mico hacia plantacion de bambu.","1985","null","Flower","Fruit","null","null","null","Arbol cultivado 3 m de alto, flores blancas, frutos café.","null","null","null","null",FALSE,"null","-84.3","W","12.16666667","N","https://cdn.plantatlas.org/img/specimens/USF/184678.jpg"
"84",193337,"null","29477","T. A. Zanoni","J. Pimentel & R. García","Dominican Republic","null","Bixaceae","Bixa","null","null",144104,"null","null","null",TRUE,"null","null","orellana","L.","null","West Indies","03/28/1984","Base Cordillera Central; en las orillas del río Matuey, en Mano Matuey, 12 km noroeste de Hato Damas.","null","Bosque latifoliado y disturbado con café y cacao; casi en el fin del camino transitable por vehiculos.","Fruit","null","null","null","null","Arbustos 4-5-6 m de alto; pétalos y estambres rosados; frutos verde ahora pero rojo-oxido al madurar y cuando seco; no cultivado en la zona pero los campesinos recogen los frutos para sus semillas.","null","240","null","m",FALSE,"null","-70.23333333","W","18.55","N","https://cdn.plantatlas.org/img/specimens/USF/193337.JPG"
"85",171277,"null","862","R. Kummrow","","Brazil","Tijucas do Sul Mun.","Nyctaginaceae","Bougainvillea","null","null",192694,"glabra","null","null",TRUE,"null","var.","glabra","Choisy","null","South America","01/26/1975","Represa de Vossoroca.","1982","null","Flower","null","null","null","null","Arvore 5 m, flor com bracteas cor-de rosa; cultivada como ornamental.","null","null","null","null",FALSE,"null","-39.433333","W","-13.183333","S","https://cdn.plantatlas.org/img/specimens/USF/171277.jpg"
"87",44416,"null","1083","J. Patman","","USA","Hillsborough Co.","Brassicaceae","Brassica","null","null",55121,"null","null","null",TRUE,"20","null","juncea","L.","Czern.","North America","03/18/1962","E of Oldsmar on FL 584.","1975","null","Fertile","null","null","null","null","In cultivation; all stages seen, small plants taken; flowers pale yellow, to 3 ft tall.","null","null","null","null",FALSE,"null","-82.665099","W","28.034185","N","https://cdn.plantatlas.org/img/specimens/USF/44416.jpg"
"88",44415,"null","1084","J. Patman","","USA","Hillsborough Co.","Brassicaceae","Brassica","null","null",55134,"null","null","null",TRUE,"20","null","juncea","L.","Czern.","North America","03/18/1962","E of Oldsmar on FL 584.","null","null","Fertile","null","null","null","null","In cultivation; all stages seen, small plants taken; flowers bright yellow; to 5 ft. tall.","null","null","null","null",FALSE,"null","-82.665099","W","28.034185","N","https://cdn.plantatlas.org/img/specimens/USF/44415.jpg"
"89",206789,"null","23026","S. R. Hill","","USA","Pickens Co.","Brassicaceae","Brassica","null","null",126594,"rapa","null","null",TRUE,"null","var.","rapa","L.","null","North America","05/02/1992","156 Cedar Creek Circle, Central.","Nov 1992","null","Fertile","null","null","null","null","Flowers yellow, fruit green; cultivated glaucous herb 3 ft. tall.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/206789.jpg"
"90",206790,"null","23026","S. R. Hill","","USA","Pickens Co.","Brassicaceae","Brassica","null","null",126595,"rapa","null","null",TRUE,"null","var.","rapa","L.","null","North America","05/02/1992","156 Cedar Creek Circle, Central.","Nov 1992","null","Fertile","null","null","null","null","Flowers yellow, fruit green; cultivated glaucous herb 3 ft. tall.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/206790.jpg"
"92",211762,"null","25768","S. R. Hill","D. Kandt & K. Kandt","Dominica","St. Patrick Par.","Solanaceae","Brugmansia","null","null",137521,"null","null","null",TRUE,"294","null","suaveolens","Humb. & Bonpl. ex Willd.","Bercht. & J. Presl","West Indies","06/01/1994","Town of Bellevue Chopin, road to Grand Bay; roadside near house.","Jun 1994","null","Flower","null","null","null","null","Flowers peach-color, pendulous; cultivated or escaped shrub 10 ft. wide.","null","1500","null","ft",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/211762.JPG"
