"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"441",31138,"null","729","P. Dowell","","USA","Lehigh Co.","Hydrangeaceae","Philadelphus","null","null",240154,"null","null","null",TRUE,"null","null","coronarius","L.","null","North America","06/05/1899","Collected in the vicinity of Allentown.","null","null","Bud","Flower","null","null","null","Cultivated.","null","null","null","null",FALSE,"null","-75.490183","W","40.60843","N","https://cdn.plantatlas.org/img/specimens/USF/31138.jpg"
"444",127530,"null","E243","J. Murray","null","USA","Hillsborough Co.","Polypodiaceae","Phlebodium","null","null",107382,"null","null","null",TRUE,"3613","null","aureum","L.","J. Sm.","North America","Apr-May 1977","null","null","null","Fertile","null","null","null","null","Cultivar Mandianum.","null","null","null","null",FALSE,"University of South Florida Botanical Gardens","-82","W","28","N","https://cdn.plantatlas.org/img/specimens/USF/127530.jpg"
"445",127529,"null","E243","J. Murray","null","USA","Hillsborough Co.","Polypodiaceae","Phlebodium","null","null",107383,"null","null","null",TRUE,"3613","null","aureum","L.","J. Sm.","North America","Apr-May 1977","null","null","null","Fertile","null","null","null","null","Cultivar Mandianum.","null","null","null","null",FALSE,"University of South Florida Botanical Gardens","-82","W","28","N","https://cdn.plantatlas.org/img/specimens/USF/127529.jpg"
"447",103352,"null","8230","D. B. Ward","","USA","Hamilton Co.","Viscaceae","Phoradendron","null","null",98107,"null","null","null",TRUE,"3332","null","leucarpum","Raf.","Reveal & M. C. Johnst.","North America","02/27/1972","Along US 129, 1 mi. S of its junction with I-75, 6 mi. S of Jasper.  T1S, R14E, Sec. 5.","1989","null","Fertile","null","null","null","null","Single large clump [parasitic] high in a cultivated Prunus serotina (abundant in nearby pecan [Carya illinoinensis] grove); stems green, wood very brittle.","null","null","null","null",FALSE,"null","-82.94819","W","30.518273","N","https://cdn.plantatlas.org/img/specimens/USF/103352.jpg"
"448",104942,"null","s.n.","D. B. Ward","N.E. Lee","USA","Alachua Co.","Viscaceae","Phoradendron","null","null",98108,"null","null","null",TRUE,"3332","null","leucarpum","Raf.","Reveal & M. C. Johnst.","North America","01/26/1973","Lawn of McCarty Hall, University of Florida campus, Gainesville.","1989","null","null","null","null","null","null","Solitary small clump, [parasitic] 25 ft. up in cultivated Juglans nigra.","null","null","null","null",FALSE,"null","-82.325","W","29.65139","N","https://cdn.plantatlas.org/img/specimens/USF/104942.jpg"
"451",219422,"null","28599","S. R. Hill","","USA","Champaign Co.","Lamiaceae","Physostegia","null","null",131175,"null","null","null",TRUE,"383","null","virginiana","L.","Benth.","North America","08/31/1996","Champaign, private residence, 1411 Winding Lane.","15 Aug 2016","null","Flower","null","null","null","null","Flowers pink; cultivated herb 2 m; aggressively spreading by rhizomes.","null","null","null","null",FALSE,"null","-88.243383","W","40.11642","N","https://cdn.plantatlas.org/img/specimens/USF/219422.JPG"
"453",186713,"null","27","B. Leyden","","Belize","null","Cactaceae","Pimenta","null","null",167402,"null","null","null",TRUE,"4321","null","dioica","L.","Merr.","Central America","05/12/1985","Laguna de On, Honey Camp.","null","null","null","null","null","null","null","Probably cultivated.","null","null","null","null",FALSE,"null","-88.43333333","W","18.05","N","https://cdn.plantatlas.org/img/specimens/USF/186713.jpg"
"455",121197,"null","1564","G. N. Avery","","USA","Miami-Dade Co.","Piperaceae","Piper","null","null",21475,"null","null","null",TRUE,"1957","null","aduncum","L.","null","North America","03/29/1975","Quail Roost Drive and 154th Avenue.","Feb 1990","In disturbed soil, with Schinus, Trema, and Baccharis.","Fertile","null","null","null","null","Two plants seen, 3 m high; trunk jointed, green, one branch per node; leaves drooping, turning yellow with age; spike erect, arching, the tip drooping.  Not cultivated in the several nearby plant nurseries.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/121197.jpg"
"456",248406,"null","2662","K. A. Bradley","M. Barry","USA","Monroe Co.","Fabaceae","Pithecellobium","null","null",32071,"null","null","null",TRUE,"4309","null","bahamense","Northr.","null","North America","10/18/2007","Contact USF Herbarium if additional information is required","null","Undisturbed pine rockland.","Flower","null","null","null","null","Over 200 plants in a small, dense colony; shrubs mostly 1-2 m tall.  Also found by Paula Cannon and Ben Edwards in 2006; no evidence of cultivation, this appears to be a native population.","null","null","null","null",TRUE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/248406.jpg"
"457",199484,"null","18413","S. R. Hill","","USA","Goliad Co.","Pittosporaceae","Pittosporum","null","null",126763,"null","null","null",TRUE,"206","null","tobira","Thunb.","Aiton","North America","07/30/1987","De la Garza Construction Corporation next to Antlers Inn, US 59, Goliad.","Oct 1987","Yard.","Fruit","null","null","null","null","Cultivated shrub 6 ft. tall; widely bushy-branched; evergreen; fruits green, firm.","null","null","null","null",FALSE,"null","-97.388326","W","28.668325","N","https://cdn.plantatlas.org/img/specimens/USF/199484.jpg"
"458",199807,"null","19137","S. R. Hill","","USA","Harrison Co.","Pittosporaceae","Pittosporum","null","null",126759,"variegatum","null","null",TRUE,"null","var.","tobira","Thunb.","Aiton","North America","04/16/1988","At Howard Johnson's Motel; US 90 [E Branch Boulevard], Biloxi.","Apr 1988","null","Flower","null","null","null","null","Flowers white, fragrant; cultivated shrub 3-4 ft. tall; evergreen.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/199807.jpg"
"462",207547,"null","75133","A. Gentry","C. Diaz & R. Ortiz","Peru","null","Apocynaceae","Plumeria","null","null",173242,"","null","null",TRUE,"null","","rubra","L.","null","South America","09/26/1991","4-6 km E of Tondopa, on road to Ayabaca.","1993","Scrubby pasture; dry slopes.","Flower","null","null","null","null","Nearly leafless tree 3 m; flowers white, mostly cultivated but also occasional.","null","1050","1150","m",FALSE,"null","-79.83333333","W","-4.583333333","S","https://cdn.plantatlas.org/img/specimens/USF/207547.JPG"
"463",223728,"null","s.n.","R. P. Wunderlin","S. Bowman","USA","Hillsborough Co.","Podocarpaceae","Podocarpus","null","null",20518,"null","null","null",TRUE,"228","null","macrophyllus","Thunb.","D. Don","North America","02/05/1999","Alderman's Ford Addition, 1.5 mi. NW of Pinecrest, ca. 11 mi. S of Plant City.  T30S, R21E, Sec. 13, S½.","null","null","null","null","null","null","null","Many young plants escaped from cultivation and naturalizing.","null","null","null","null",FALSE,"null","-82.1333","W","27.8333","N","https://cdn.plantatlas.org/img/specimens/USF/223728.jpg"
"464",243670,"null","4","S. Dickman","null","USA","Hillsborough Co.","Podocarpaceae","Podocarpus","null","null",237531,"null","null","null",TRUE,"null","null","nagi","Thunb.","Zoll. & Mor. ex Zoll.","North America","01/07/2007","Rocky Creek Trails Preserve ELAPP, NE corner of Manhattan Drive and Gunn Highway. T28S, R17E, Sec. 2, SE¼ of SE¼.","null","null","null","null","null","null","null","Seedling beneath large tree persistent from cultivation.","null","null","null","null",FALSE,"null","-82.5186","W","27.9458","N","https://cdn.plantatlas.org/img/specimens/USF/243670.jpg"
"467",67704,"null","s.n.","H. H. Iltis","","USA","Dane Co.","Salicaceae","Populus","null","null",220973,"null","null","null",TRUE,"1843","null","alba","L.","null","North America","Summer 1960","Madison.","null","null","Fertile","null","null","null","null","Cultivated; ca. 9 m. tall; leaves on older branches","null","null","null","null",FALSE,"null","-89.40123","W","43.073052","N","https://cdn.plantatlas.org/img/specimens/USF/67704.JPG"
"468",76281,"null","27152","D. S. Correll","E. L. Little Jr.","USA","Jeff Davis Co.","Salicaceae","Populus","null","null",220965,"null","null","null",TRUE,"null","null","hinckleyana","Correll","null","North America","04/03/1963","Davis Mountains; mouth of Goat Canyon; George Jones Ranch.","null","null","Fertile","null","null","null","null","Tree cultivated; to 30 ft. tall.","null","null","null","null",FALSE,"null","-101.918802","W","34.980334","N","https://cdn.plantatlas.org/img/specimens/USF/76281.JPG"
"473",7585,"null","57454","R. K. Godfrey","","USA","Hernando Co.","Rosaceae","Prunus","null","null",126987,"null","null","null",TRUE,"3783","null","caroliniana","Mill.","Aiton","North America","08/10/1958","4.5 mi. N of Brooksville.","null","null","null","null","null","null","null","Small tree, in cultivation.","null","null","null","null",FALSE,"null","-82.387871","W","28.555272","N","https://cdn.plantatlas.org/img/specimens/USF/7585.jpg"
"476",137217,"null","6181","R. P. Wunderlin","A. Arcuri & B. Hansen","USA","Lee Co.","Myrtaceae","Psidium","null","null",130154,"null","null","null",TRUE,"1395","null","guajava","L.","null","North America","10/28/1978","Sanibel Island, J. N. ""Ding"" Darling National Wildlife Refuge; 0.6 mi. W of Tarpon Bay Road on Sanibel-Captiva Road.","null","Abandoned homesite.","Fruit","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","-82.189261","W","26.522023","N","https://cdn.plantatlas.org/img/specimens/USF/137217.JPG"
"477",125120,"null","126","S. Todd","","USA","Lee Co.","Myrtaceae","Psidium","null","null",17804,"null","null","null",TRUE,"1395","null","guajava","L.","null","North America","07/13/1974","Mound Key, Estero Bay.  T46S, R24E, Sec. 36.","null","Shell midden.","Flower","null","null","null","null","Several trees apparently cultivated near an old homesite; some young trees scattered around the island.","null","null","null","null",FALSE,"null","-81.806752","W","26.438136","N","https://cdn.plantatlas.org/img/specimens/USF/125120.jpg"
"478",200629,"null","11800","T. S. Cochrane","M. A. Wetter & M. Rosales C.","Mexico","null","Myrtaceae","Psidium","null","null",228073,"null","null","null",TRUE,"1395","null","guajava","L.","null","North America","03/28/1989","1.4 km by road SW of Ayotitlán on road to Cuantitlan.","null","Secondary vegetation of unarmed (mostly) thickets and brush with isolated remnants and individual trees (Enterolobium cyclocarpum, Tabebuia rosea, Hura polyandra) of semideciduous forest (vegetacion secundaria de matorral en su mayor parte inerme con remanentes aislodas y arboles solitarios de selva mediana subcaducifolia.","Fruit","null","null","null","null","Shrub, 1.4 m tall; wood hard; petals white; said to be wild (""silvestre""), not cultivated.","null","960","null","m",FALSE,"null","-104.1919444","W","19.46444444","N","https://cdn.plantatlas.org/img/specimens/USF/200629.jpg"
"479",182243,"null","84317","R. D. Thomas","","USA","Washington Par.","Juglandaceae","Pterocarya","null","null",133146,"null","null","null",TRUE,"null","null","stenoptera","C. DC.","null","North America","06/15/1983","Other side of Railroad Street at Main Street (LA 21) in Angie, Sector 17, T1S, R14 E.","null","null","Fruit","null","null","null","null","Cultivated and spreading.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/182243.jpg"
"482",125109,"null","128","S. Todd","null","USA","Lee Co.","Lythraceae","Punica","null","null",129897,"null","null","null",TRUE,"null","null","granatum","L.","null","North America","06/09/1974","Mound Key, Estero Bay. T46S, R24E, Sec. 36.","1994","Shell midden; found in the hammock area, near an old homesite.","null","null","null","null","null","One shrub; probably persistent from cultivation.","null","null","null","null",FALSE,"null","-81.806752","W","26.438136","N","https://cdn.plantatlas.org/img/specimens/USF/125109.JPG"
"487",8373,"null","57971","R. K. Godfrey","","USA","Leon Co.","Rosaceae","Pyracantha","null","null",127008,"null","null","null",TRUE,"1667","null","koidzumii","Hayata","Rehder","North America","11/25/1958","Tallahassee.","null","null","null","null","null","null","null","Shrub, in cultivation.","null","null","null","null",FALSE,"null","-84.280733","W","30.438256","N","https://cdn.plantatlas.org/img/specimens/USF/8373.jpg"
"491",78271,"null","27","G. Garner","","USA","Orange Co.","Rosaceae","Pyrus","null","null",162535,"null","null","null",TRUE,"1938","null","communis","L.","null","North America","04/05/1965","Finley Gold Course, Chapel Hill.","null","Woods.","Flower","null","null","null","null","Persistent after cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/78271.jpg"
"492",201768,"null","793","J. Saunders","C. Niblett, D. Bell","USA","St. Louis Co.","Fagaceae","Quercus","null","null",118114,"null","null","null",TRUE,"null","null","bicolor","Willd.","null","North America","08/02/1978","Near Alfred-Castleman entrance; St. Louis.","null","null","Fertile","Fruit","null","null","null","Cultivated but cut down.","null","null","null","null",FALSE,"Missouri Botanical Garden","-90.1833","W","38.8167","N","https://cdn.plantatlas.org/img/specimens/USF/201768.jpg"
"495",204414,"null","20484","S. R. Hill","","USA","Pickens Co.","Ericaceae","Rhododendron","null","null",130338,"null","null","null",TRUE,"null","null","obtusum","Hort","P. Watson","North America","04/20/1989","136 (=156) Cedar Creek Circle, Central; near transformer in back yard; on property at purchase.","Sep 1989","null","Flower","null","null","null","null","Flowers doubled, salmon-pink; cultivated shrub 2.5-3 ft. tall.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/204414.JPG"
"496",36014,"null","s.n.","G. M. Riegler","","USA","Pasco Co.","Myrtaceae","Rhodomyrtus","null","null",17726,"null","null","null",TRUE,"86","null","tomentosa","Aiton","Hassk.","North America","05/16/1961","0.5 mi. E of US 41 on FL 54.","null","Borders of ponds and sandy terraces, with spp. of Quercus, Lyonia, and palmetto [Serenoa repens].","Flower","null","null","null","null","Shrub to 4.5 m high; flowers abundant; not cultivated at this site.","Abundant","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/36014.jpg"
"497",50675,"null","347","L. H. Pammel","C. R. Ball","USA","Story Co.","Grossulariaceae","Ribes","null","null",240220,"null","null","null",TRUE,"null","null","aureum","Pursh","null","North America","05/10/1897","Ames.","null","null","Flower","null","null","null","null","Cultivated and escaped.","null","null","null","null",FALSE,"null","-93.61994","W","42.034708","N","https://cdn.plantatlas.org/img/specimens/USF/50675.jpg"
"505",139093,"null","9256","W. C. Brumbach","","USA","Lee Co.","Dryopteridaceae","Rumohra","null","null",24245,"null","null","null",TRUE,"1621","null","adiantiformis","G. Forst.","Ching","North America","05/28/1977","Landscape Sanibel, E Sanibel.","Dec 1987","null","Fertile","null","null","null","null","Escaped frm cultivation. Formerly used in woodland gardens as a ground cover.","null","null","null","null",FALSE,"Sanibel Island","-82.022314","W","26.44897","N","https://cdn.plantatlas.org/img/specimens/USF/139093.jpg"
"506",204171,"null","22287","S. R. Hill","","USA","Pickens Co.","Rutaceae","Ruta","null","null",128413,"null","null","null",TRUE,"null","null","graveolens","L.","null","North America","05/15/1991","156 Cedar Creek Circle, Central.","May 1991","null","Flower","null","null","null","null","Flowers yellow, pistil green; plant glaucous, foliage pungent-aromatic; cultivated perennial 3 ft. tall; causes dermatitis.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/204171.jpg"
"507",52392,"null","3204","D. B. Ward","D. Burch","USA","DeSoto Co.","Malvaceae","Sabdariffa","null","null",25657,"null","null","null",TRUE,"1295","null","acetosella","Welw. ex Hiern","M.M.Hanes & R.L.Barrett","North America","11/29/1962","Near intersection of Orange Street and Magnolia Street, Arcadia.  T37S, R21E, Sec. 36.","Apr 2026","In a wooded, vacant lot.","Fruit","null","null","null","null","Small stand growing without cultivation, the plants often entirely red, to 6 dm [tall]. ","null","null","null","null",FALSE,"null","-81.858416","W","27.215883","N","https://cdn.plantatlas.org/img/specimens/USF/52392.jpg"
"510",81962,"null","31319","O. K. Lakela","","USA","Collier Co.","Poaceae","Saccharum","null","null",46294,"null","null","null",TRUE,"1544","null","officinarum","L.","null","North America","12/25/1967","Sunniland Café vicinity off FL 29 at the railroad grade.","null","null","Fertile","null","null","null","null","Attractive clump of plants escaped from cultivation.","null","null","null","null",FALSE,"null","-81.3333","W","26.2667","N","https://cdn.plantatlas.org/img/specimens/USF/81962.jpg"
"511",72778,"null","29561","O. K. Lakela","Dr. R.W. Long's Class of 1966","USA","Hendry Co.","Poaceae","Saccharum","null","null",46287,"null","null","null",TRUE,"1544","null","officinarum","L.","null","North America","04/03/1966","Road embankment off US 27; Clewiston area.","null","Road embankments.","Fertile","null","null","null","null","Escaped from cultivated fields.","null","null","null","null",FALSE,"null","-80.933675","W","26.754231","N","https://cdn.plantatlas.org/img/specimens/USF/72778.jpg"
"512",125450,"null","s.n.","A. G. Shuey","J.E. Poppleton","USA","Brevard Co.","Salicaceae","Salix","null","null",117992,"null","null","null",TRUE,"2003","null","babylonica","L.","null","North America","11/05/1973","null","null","null","Fertile","null","null","null","null","Persisting from cultivation.","null","null","null","null",FALSE,"North Merritt Island","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/125450.jpg"
"515",192476,"null","13317","S. R. Hill","","USA","Prince Georges Co.","Lamiaceae","Salvia","null","null",131187,"null","null","null",TRUE,"null","null","columbariae","Benth.","null","North America","10/30/1983","Botany Greenhouses, University of Maryland, College Park.","null","null","Flower","null","null","null","null","Flowers blue; cultivated herb 2.5 - 3 m tall.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/192476.JPG"
"520",103944,"null","20777","S. B. Jones","","USA","Harris Co.","Apiaceae","Sanicula","null","null",180164,"null","null","null",TRUE,"3512","null","marilandica","L.","null","North America","05/18/1971","Laurel Springs area of Callaway Gardens, at Pine Mountain.","null","Oak-hickory woods; moist soil.","Flower","null","null","null","null","Native, not cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/103944.jpg"
"522",130885,"null","9030","W. C. Brumbach","","USA","Lee Co.","Goodeniaceae","Scaevola","null","null",17291,"null","null","null",TRUE,"1900","null","taccada","Gaertn.","Roxb.","North America","07/17/1976","Western Sanibel [Island].","19-Apr-2017","Canal bank.","Flower","Fruit","null","null","null","Escaped from cultivation; a spreading, moundlike shrub 1 m tall; flowers bluish white.","null","null","null","null",FALSE,"null","-82.022314","W","26.44897","N","https://cdn.plantatlas.org/img/specimens/USF/130885.jpg"
"523",127550,"null","E296","J. Murray","null","USA","Hillsborough Co.","Polypodiaceae","Schellolepis","null","null",107386,"null","null","null",TRUE,"null","null","subauriculata","Blume","J. Sm.","North America","Apr-May 1977","null","null","null","null","null","null","null","null","Cultivar Knightii.","null","null","null","null",FALSE,"University of South Florida Botanical Gardens","-82","W","28","N","https://cdn.plantatlas.org/img/specimens/USF/127550.jpg"
"524",219431,"null","28861","S. R. Hill","","USA","Champaign Co.","Crassulaceae","Sedum","null","null",126729,"null","null","null",TRUE,"null","null","telephium","L.","null","North America","10/30/1996","1411 Winding Lane, Champaign; residential area.","Oct 1996","Back yard.","null","null","null","null","null","Succulent cultivated herb 0.5 m tall; many stemmed.","null","null","null","null",FALSE,"null","-88.243383","W","40.11642","N","https://cdn.plantatlas.org/img/specimens/USF/219431.jpg"
"527",212914,"null","44858","M. Nee","","Bolivia","Andrés Ibáñez Prov.","Fabaceae","Senna","null","null",212600,"null","null","null",TRUE,"null","null","spectabilis","DC.","H. S. Irwin & Barneby","South America","02/10/1994","7 km (by air) NW of Puerto Pailas, ca. 2.5 km W of center of Montero Hoyos.","1994","Chaco forest and cleared for fields and pastures; flat, sandy soil, with Acrocomia totai, Cereus dayami, Pterogyne nitens, Achatocarpus nigricans, Capparis tweediana.","Flower","null","null","null","null","Small tree 8 m tall, 20 cm in diameter, apparently native here, it is also commonly cultivated for ornament; inflorescences many, very showy; flowers bright yellow, the stamens buzzed by large black carpenter bees, and also visited by small pollen-collecting bees.","null","300","null","m",FALSE,"null","-62.84166667","W","-17.63888889","S","https://cdn.plantatlas.org/img/specimens/USF/212914.jpg"
"528",82989,"null","9330","C. E. Wood","K.A. Wilson","USA","Duval Co.","Fabaceae","Sesbania","null","null",4545,"null","null","null",TRUE,"110","null","punicea","Cav.","Benth.","North America","05/09/1959","At S limits of Bayard.","25-Aug-2009","In wet area in vacant lot in front of Taxodium.","Flower","null","null","null","null","Shrub ca. 5-8 ft.; petals orange-red. Escaped from cultivation and spreading.","null","null","null","null",FALSE,"null","-81.512864","W","30.143576","N","https://cdn.plantatlas.org/img/specimens/USF/82989.jpg"
"529",67538,"null","1775","D. H. Nicolson","","USA","Carteret Co.","Fabaceae","Sesbania","null","null",26488,"null","null","null",TRUE,"110","null","punicea","Cav.","Benth.","North America","09/09/1964","Harker's Island.","25-Aug-2009","null","Flower","Immature Fruit","null","null","null","Cultivated and escaping; flowers red.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/67538.jpg"
"530",219433,"null","28855","S. R. Hill","","USA","Champaign Co.","Malvaceae","Sida","null","null",129391,"null","null","null",TRUE,"null","null","hermaphrodita","L.","Rusby","North America","10/14/1996","Champaign, residential area, 1411 Winding Lane.","Oct 1996","null","Flower","Bud","null","null","null","Fruits green drying brown; flowers were white with pale purple fruit tint; cultivated perennial 2 m tall.","null","null","null","null",FALSE,"null","-88.243383","W","40.11642","N","https://cdn.plantatlas.org/img/specimens/USF/219433.JPG"
"532",58711,"null","7440","A. N. Steward","C. B. Steward","USA","Benton Co.","Brassicaceae","Sisymbrium","null","null",239330,"null","null","null",TRUE,"1286","null","officinale","L.","Scop.","North America","05/15/1958","SE of Corvallis; E end of Goodnight Road.","null","Gravelly loam soil.","Flower","Fruit","Immature Fruit","null","null","Branching annual to 2 m tall; flowers yellow; stems dark purple at base; common locally in waste ground, formerly cultivated; with Sonchus and grasses.","null","null","null","null",FALSE,"null","-123.26083","W","44.56472","N","https://cdn.plantatlas.org/img/specimens/USF/58711.jpg"
"534",53269,"null","16086","U. T. Waterfall","","USA","null","Cupressaceae","Solanum","null","null",202797,"null","null","null",TRUE,"null","null","integrifolium","Lam.","null","North America","07/23/1961","null","null","null","Fertile","null","null","null","null","Cultivated.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/53269.jpg"
"536",9953,"null","s.n.","J. D. Ray, Jr.","","USA","Hernando Co.","Solanaceae","Solanum","null","null",55082,"null","null","null",TRUE,"55","null","seaforthianum","Jacks.","null","North America","10/04/1959","Chinsegut Hill.","Jun 1968","Citrus grove as well as margin of wooded visitor's path.","Flower","null","null","null","null","Panicles pendant; corolla lilac-blue, deeply lobed; cultivar.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/9953.jpg"
"538",179426,"null","2138","J. A. Villarreal-Quintanilla","M. A. Carranza","Mexico","null","Asteraceae","Sonchus","null","null",232667,"null","null","null",TRUE,"1785","null","oleraceus","L.","null","North America","04/28/1983","Guanajuato, al S de Ramos Arizpe.","null","Huertas de membrillo, durazno, nogal.","Flower","null","null","null","null","Maleza en cultivo de cilantro.","null","null","null","null",FALSE,"null","-101.256979","W","21.018268","N","https://cdn.plantatlas.org/img/specimens/USF/179426.jpg"
"539",196480,"null","s.n.","N. A. Harriman","","USA","Arlington Co.","Fabaceae","Sophora","null","null",128266,"null","null","null",TRUE,"null","null","japonica","L.","null","North America","08/18/1984","Marriott Hotel on the banks of the Potomac River, Rosslyn.","null","null","Flower","null","null","null","null","Cultivated trees, flowers green-white.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/196480.jpg"
"540",131090,"null","21969","D. Dunn","","Guatemala","null","Bignoniaceae","Spathodea","null","null",230782,"null","null","null",TRUE,"305","null","campanulata","P. Beauv.","null","Central America","08/07/1975","Hot Springs Trailer Park; Las Hamacas; 20 mi. SW of Guatemala City on CA-2.","null","null","Flower","null","null","null","null","Cultivated trees; 15 ft. tall.","null","3500","null","ft",FALSE,"null","-90.25","W","15.5","N","https://cdn.plantatlas.org/img/specimens/USF/131090.jpg"
"541",136968,"null","233","M. Pennell","D. Dunn & C. Dziekanowski","Guatemala","null","Bignoniaceae","Spathodea","null","null",230781,"null","null","null",TRUE,"305","null","campanulata","P. Beauv.","null","Central America","07/23/1978","Las Hamacas Trailer Campground.","null","Canyon between volcanos.","Flower","null","null","null","null","Cultivated tree.","null","4000","null","ft",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/136968.jpg"
"543",25892,"null","s.n.","H. Teuscher","","Ecuador","null","Orchidaceae","Spiranthes","null","null",79111,"null","null","null",TRUE,"null","null","peruviana","C. Presl","null","South America","3 May 1957","Cuenca.","1997","null","Flower","null","null","null","null","Collected by Mr. Strobel, flowered in cultivation at the Montreal Botanical Garden, Canada.","null","null","null","null",FALSE,"null","-79.004","W","-2.9","S","https://cdn.plantatlas.org/img/specimens/USF/25892.jpg"
"544",25788,"null","s.n.","H. Teuscher","","Japan","null","Orchidaceae","Spiranthes","null","null",79130,"null","null","null",TRUE,"null","null","sinensis","Pers.","Ames","Asia","s.d.","null","null","null","Flower","null","null","null","null","Cultivated at eht Montreal Botanical Garden, Canada.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/25788.jpg"
"545",175771,"null","141","P. O. Schallert","","USA","San Joaquin Co.","Caryophyllaceae","Stellaria","null","null",232798,"null","null","null",TRUE,"22","null","media","L.","Cirillo","North America","02/27/1945","Near Stockton Calit.","null","null","Flower","null","null","null","null","Common Chickweed; common in cultivated soil over the United States.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/175771.jpg"
"546",223153,"null","1424","K. A. Bradley","","USA","Miami-Dade Co.","Blechnaceae","Stenochlaena","null","null",97815,"null","null","null",TRUE,"1561","null","tenuifolia","Desv.","T. Moore","North America","03/05/1998","Along N edge of a small pond, SW of intersection of SW 92nd Street and 52nd Avenue.","null","On ground and up trees.","null","null","null","null","null","Probably escaped from the nearby Fairchild Tropical Garden where it is cultivated; plants creeping; a small population naturalized.","null","null","null","null",FALSE,"Matheson Hammock Park","-82.0854","W","27.8595","N","https://cdn.plantatlas.org/img/specimens/USF/223153.jpg"
"547",223152,"null","1424","K. A. Bradley","","USA","Miami-Dade Co.","Blechnaceae","Stenochlaena","null","null",97816,"null","null","null",TRUE,"1561","null","tenuifolia","Desv.","T. Moore","North America","03/05/1998","Along N edge of a small pond, SW of intersection of SW 92nd Street and 52nd Avenue.","null","On ground and up trees.","null","null","null","null","null","Probably escaped from the nearby Fairchild Tropical Garden where it is cultivated; plants creeping; a small population naturalized.","null","null","null","null",FALSE,"Matheson Hammock Park","-82.0854","W","27.8595","N","https://cdn.plantatlas.org/img/specimens/USF/223152.jpg"
"548",101533,"null","5931","D. Burch","null","Guatemala","null","Solanaceae","Streptosolen","null","null",176029,"null","null","null",TRUE,"null","null","jamesonii","Benth.","Miers","Central America","05/10/1972","15 km S Panajachel, S of Lake Atitlan.","null","In Pinewoods.","Flower","null","null","null","null","Shrub to 1.5 m, gflowers orange; outside tube yellow; formerly cultivated.","null","2200","null","m",FALSE,"null","-88.884429","W","15.368922","N","https://cdn.plantatlas.org/img/specimens/USF/101533.jpg"
"553",241680,"null","1218","J. M. Kunzer","","USA","Lee Co.","Meliaceae","Swietenia","null","null",19747,"null","null","null",TRUE,"3577","null","mahagoni","L.","Jacq.","North America","11/06/2005","Ca. 1.25 mi. N of Saint James City, on the W side of C-767 (Stringfellow Road). T45S, R22E, Sec. 26, S½ of SW¼.","null","null","null","null","null","null","null","Small tree (sapling) to ca. 2 m tall, ca. 1.5 cm DBH. Likely escaped from cultivation; several mature trees planted in landscaping across Stringfellow Road.","null","null","null","null",FALSE,"Pine Island","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/241680.jpg"
